,Unnamed: 0,0,10,50,100,200,500,1000
0,0.0001,0.707129094,0.707129094,0.707129094,0.707129094,0.707129094,0.707129094,0.707129094
1,0.0002,0.72061657,0.72061657,0.72061657,0.72061657,0.72061657,0.72061657,0.72061657
2,0.0003,0.718689788,0.718689788,0.718689788,0.718689788,0.718689788,0.718689788,0.718689788
3,0.0004,0.743737958,0.743737958,0.743737958,0.743737958,0.743737958,0.743737958,0.743737958
4,0.0005,0.701348748,0.732177264,0.701348748,0.697495183,0.701348748,0.697495183,0.701348748
5,0.0006,0.666666667,0.70327553,0.684007707,0.684007707,0.718689788,0.743737958,0.685934489
6,0.0007,0.672447013,0.689788054,0.664739884,0.70327553,0.753371869,0.682080925,0.741811175
7,0.0008,0.622350674,0.699421965,0.734104046,0.670520231,0.622350674,0.74566474,0.658959538
8,0.0009,0.662813102,0.709055877,0.620423892,0.662813102,0.620423892,0.662813102,0.743737958
9,0.001,0.697495183,0.662813102,0.693641618,0.70327553,0.70327553,0.710982659,0.662813102
10,0.0011,0.705202312,0.709055877,0.730250482,0.705202312,0.701348748,0.612716763,0.624277457
11,0.0012,0.707129094,0.699421965,0.709055877,0.72061657,0.728323699,0.726396917,0.709055877
12,0.0013,0.70327553,0.653179191,0.624277457,0.653179191,0.674373796,0.610789981,0.624277457
13,0.0014,0.712909441,0.722543353,0.712909441,0.70327553,0.728323699,0.724470135,0.730250482
14,0.0015,0.728323699,0.712909441,0.712909441,0.701348748,0.724470135,0.712909441,0.726396917
15,0.0016,0.70327553,0.637764933,0.689788054,0.712909441,0.705202312,0.70327553,0.63583815
16,0.0017,0.712909441,0.728323699,0.631984586,0.630057803,0.670520231,0.628131021,0.72061657
17,0.0018,0.578034682,0.728323699,0.70327553,0.712909441,0.730250482,0.714836224,0.705202312
18,0.0019,0.707129094,0.712909441,0.612716763,0.622350674,0.712909441,0.710982659,0.743737958
19,0.002,0.645472062,0.616570328,0.608863198,0.578034682,0.631984586,0.616570328,0.616570328
20,0.0021,0.701348748,0.574181118,0.589595376,0.710982659,0.724470135,0.610789981,0.610789981
21,0.0022,0.716763006,0.605009634,0.605009634,0.699421965,0.608863198,0.693641618,0.710982659
22,0.0023,0.709055877,0.564547206,0.587668593,0.616570328,0.599229287,0.712909441,0.70327553
23,0.0024,0.664739884,0.716763006,0.630057803,0.736030829,0.664739884,0.578034682,0.610789981
24,0.0025,0.608863198,0.637764933,0.614643545,0.612716763,0.606936416,0.639691715,0.614643545
25,0.0026,0.626204239,0.701348748,0.710982659,0.722543353,0.724470135,0.614643545,0.699421965
26,0.0027,0.701348748,0.701348748,0.726396917,0.712909441,0.701348748,0.712909441,0.712909441
27,0.0028,0.699421965,0.616570328,0.728323699,0.689788054,0.672447013,0.701348748,0.718689788
28,0.0029,0.712909441,0.699421965,0.701348748,0.610789981,0.616570328,0.712909441,0.728323699
29,0.003,0.676300578,0.72061657,0.616570328,0.691714836,0.616570328,0.657032755,0.616570328
30,0.0031,0.616570328,0.616570328,0.685934489,0.61849711,0.608863198,0.616570328,0.603082852
31,0.0032,0.637764933,0.714836224,0.578034682,0.605009634,0.628131021,0.591522158,0.620423892
32,0.0033,0.603082852,0.707129094,0.649325626,0.616570328,0.707129094,0.616570328,0.70327553
33,0.0034,0.699421965,0.606936416,0.699421965,0.724470135,0.599229287,0.718689788,0.699421965
34,0.0035,0.589595376,0.622350674,0.697495183,0.595375723,0.589595376,0.624277457,0.5761079
35,0.0036,0.587668593,0.630057803,0.701348748,0.709055877,0.699421965,0.674373796,0.705202312
