Unnamed: 0,0,10,50,100,200,500,1000
0.0001,0.7,0.7,0.7,0.7,0.7,0.7,0.7
0.0002,0.7,0.7,0.7,0.7,0.7,0.7,0.7
0.0003,0.74,0.74,0.74,0.74,0.74,0.74,0.74
0.0004,0.82,0.82,0.82,0.82,0.82,0.82,0.82
0.0005,0.82,0.82,0.82,0.82,0.82,0.82,0.82
0.0006,0.88,0.88,0.88,0.88,0.88,0.88,0.88
0.0007,0.88,0.88,0.88,0.88,0.88,0.88,0.88
0.0008,0.88,0.88,0.88,0.88,0.88,0.88,0.88
0.0009,0.9,0.9,0.9,0.9,0.9,0.9,0.9
0.001,0.9,0.9,0.9,0.9,0.9,0.9,0.9
0.0011,0.9,0.9,0.9,0.9,0.9,0.9,0.9
0.0012,0.9,0.9,0.9,0.9,0.9,0.9,0.9
0.0013,0.92,0.92,0.92,0.92,0.92,0.92,0.92
0.0014,0.92,0.92,0.92,0.92,0.92,0.92,0.92
0.0015,0.96,0.96,0.96,0.96,0.96,0.96,0.96
0.0016,0.88,0.88,0.88,0.88,0.88,0.88,0.88
0.0017,0.82,0.82,0.82,0.82,0.82,0.82,0.82
0.0018,0.82,0.82,0.82,0.82,0.82,0.82,0.82
0.0019,0.82,0.82,0.82,0.82,0.82,0.82,0.82
0.002,0.82,0.82,0.82,0.82,0.82,0.82,0.82
0.0021,0.82,0.82,0.82,0.82,0.82,0.82,0.82
0.0022,0.88,0.86,0.88,0.88,0.88,0.88,0.88
0.0023,0.9,0.88,0.9,0.9,0.9,0.9,0.9
0.0024,0.98,0.96,0.98,0.98,0.98,0.98,0.98
0.0025,1,1,1,1,1,1,1
0.0026,0.98,1,1,1,1,1,0.98
0.0027,0.7,0.7,0.7,0.7,0.7,0.7,0.7
0.0028,0.86,0.84,0.86,0.86,0.86,0.86,0.86
0.0029,0.7,0.7,0.7,0.7,0.7,0.7,0.7
0.003,0.88,0.88,0.88,0.88,0.88,0.88,0.88
0.0031,0.96,0.7,0.88,0.88,0.84,0.9,0.96
0.0032,0.7,0.74,0.88,0.7,0.7,0.96,0.7
0.0033,0.7,0.7,0.82,0.7,0.82,0.82,0.72
